sample_id,tepname,temp,tepvalue
445,simga,"[350.7827, 363.9299, 376.5967, 388.5954, 403.0989, 419.0648, 438.5101, 449.0791, 473.7512, 486.8081, 502.538, 518.2723, 535.2088, 552.1467, 567.8757, 583.6007, 599.9306, 618.6784, 637.2035, 675.6982, 656.4559, 460.4782, 410.59, 427.8797, 395.2738]","[223698.7, 212532.5, 201830.9, 191694.6, 181117.4, 169399.9, 156236.1, 148739.8, 134296.2, 126359.3, 119068.8, 109790.1, 103478, 96534.75, 89654.59, 84604.94, 79302.8, 73830.91, 68528.78, 61195.05, 64285.71, 141861.3, 175240.4, 162877.7, 187294]"
309,simga,"[300, 319.9525, 369.8337, 419.715, 470.3088, 520.19, 570.0713, 620.6651, 669.8337, 720.4276, 770.3088, 819.4774]","[765061.6, 717581.2, 612766, 524972, 450615.9, 387905.9, 335946.2, 292049.3, 253527.4, 218589, 186338.2, 154983.2]"
252,simga,"[303.2638, 324.3069, 349.0633, 373.8203, 399.1972, 424.5753, 449.3342, 474.0938, 498.2354, 522.9956, 548.3763, 573.7589, 599.1383, 623.2825, 647.4279, 674.0482, 698.8135, 724.1967, 748.962, 773.7273, 797.8734, 823.8783, 848.0251, 874.0294, 898.7953, 930.373]","[48614.62, 45849.03, 42530.16, 39396.1, 36447.04, 33867.59, 31287.95, 28893.11, 26867.69, 24657.66, 22817.43, 21531.61, 19321.77, 18035.57, 17118.98, 15648.74, 14917.15, 13816.14, 13084.55, 12352.95, 11621.17, 11259.57, 10712.59, 10166.19, 9619.402, 9259.519]"
280,simga,"[302.5641, 323.0769, 372.4359, 423.0769, 473.0769, 523.0769, 573.0769, 623.0769, 673.0769, 723.0769, 773.0769, 823.0769, 873.0769, 901.9231]","[137605, 136554.6, 131302.5, 122899.2, 114495.8, 103991.6, 94537.82, 86134.45, 76680.67, 66176.47, 58823.53, 53571.43, 49369.75, 48319.33]"
234,simga,"[301.6458, 317.0826, 366.4612, 414.293, 439.7474, 463.6562, 488.3339, 513.0138, 536.9192, 561.5914, 586.2648, 610.1647, 634.8325, 658.7291, 683.3936, 707.2847, 741.1935, 775.8645, 809.7645, 842.8888, 871.3927, 900.6611]","[278648.1, 264914.2, 228433.5, 194527.9, 178218.9, 164055.8, 150321.9, 135729.6, 122854.1, 111266.1, 99248.93, 88519.31, 78648.07, 69206.01, 60622.32, 53326.18, 43454.94, 36587.98, 30150.21, 25858.37, 21566.52, 19420.6]"
218,simga,"[294.074, 310.9159, 345.0008, 389.5116, 433.2205, 483.3453, 536.2771, 592.4168, 646.9526, 699.4834, 725.9493, 752.0142]","[168570.4, 155910.1, 133755.6, 102619.7, 78929.06, 56926.39, 38877.6, 29278.26, 26125.5, 25050.06, 23841.14, 23698.88]"
389,simga,"[303.2929, 321.4905, 369.1508, 417.6776, 466.2045, 514.7314, 564.5581, 613.0849, 661.1785, 709.7054]","[159704.9, 146075.7, 115857.4, 91568.25, 72812.73, 57812.15, 46962.28, 38483.43, 31980.7, 26466.29]"
343,simga,"[346.0521, 396.8955, 446.7333, 495.5681, 544.8824, 595.1735, 642.9918, 691.7877, 739.5933]","[141374.8, 102464.3, 73605.71, 53501.95, 40207.52, 31452.66, 26913.1, 26588.85, 28534.37]"
383,simga,"[323.0352, 372.5779, 422.544, 472.5102, 522.8997, 572.8659, 622.832, 672.7981, 722.7642, 773.1538]","[468818.7, 403571.4, 345879.1, 294368.1, 247664.8, 211263.7, 175549.5, 149450.5, 128159.3, 106868.1]"
357,simga,"[302.2086, 323.5583, 348.589, 373.6196, 398.6503, 423.681, 447.9755, 473.0061, 498.773, 524.5399, 548.8344, 573.865, 598.1595, 623.1902, 647.4847, 673.2515, 697.546, 722.5767, 746.8712, 771.1656, 797.6687, 823.4356, 847.7301, 873.4969, 897.7914, 931.6564]","[110549.5, 104175.8, 96483.52, 89010.99, 81978.02, 74945.05, 69230.77, 63296.7, 57582.42, 52307.69, 47692.31, 42417.58, 38461.54, 34945.05, 31648.35, 28571.43, 25274.73, 23516.48, 21098.9, 19120.88, 17582.42, 16703.3, 15604.4, 15164.84, 14945.05, 14725.27]"
