sample_id,tepname,temperature,tepvalue
333,rho,417.7896,2.079343e-05
333,rho,427.0317,2.134063e-05
333,rho,437.6602,2.298222e-05
333,rho,447.3644,2.380301e-05
333,rho,457.5308,2.47606e-05
333,rho,467.235,2.571819e-05
333,rho,477.4014,2.681259e-05
333,rho,487.1056,2.763338e-05
333,rho,497.272,2.913817e-05
333,rho,507.4384,3.009576e-05
333,rho,517.1426,3.160055e-05
333,rho,526.8469,3.228454e-05
333,rho,537.0132,3.351573e-05
333,rho,547.1796,3.447332e-05
333,rho,556.8838,3.556772e-05
333,rho,567.0502,3.638851e-05
333,rho,576.7544,3.73461e-05
333,rho,586.9208,3.830369e-05
333,rho,597.0872,3.898769e-05
333,rho,607.2535,3.994528e-05
333,rho,616.9578,4.076607e-05
333,rho,626.662,4.131327e-05
333,rho,636.8284,4.227086e-05
333,rho,646.5326,4.336525e-05
333,rho,656.699,4.418605e-05
333,rho,666.8653,4.514364e-05
333,rho,676.5696,4.623803e-05
333,rho,686.736,4.705882e-05
50,rho,302.8986,1.670644e-06
50,rho,324.6377,1.789976e-06
50,rho,362.3188,1.998807e-06
50,rho,398.0676,2.177804e-06
50,rho,434.7826,2.476134e-06
50,rho,469.5652,2.714797e-06
50,rho,504.8309,2.983294e-06
50,rho,542.5121,3.341289e-06
50,rho,581.6425,3.729117e-06
50,rho,618.8406,4.087112e-06
50,rho,655.0725,4.564439e-06
50,rho,693.7198,5.041766e-06
50,rho,729.4686,5.638425e-06
50,rho,770.5314,6.294749e-06
51,rho,769.3978,7.472527e-06
51,rho,741.2636,6.862027e-06
51,rho,700.2962,6.178266e-06
51,rho,657.3544,5.543346e-06
51,rho,619.3485,5.006105e-06
51,rho,579.3682,4.493284e-06
51,rho,539.388,4.053724e-06
51,rho,498.4205,3.614164e-06
51,rho,457.9467,3.223443e-06
51,rho,418.46,2.930403e-06
51,rho,380.4541,2.612943e-06
51,rho,339.9803,2.319902e-06
51,rho,308.3909,2.075702e-06
51,rho,294.077,2.026862e-06
52,rho,306.8583,2.286585e-06
52,rho,337.426,2.5e-06
52,rho,372.4299,2.804878e-06
52,rho,438.4964,3.231707e-06
52,rho,405.4662,2.865854e-06
52,rho,473.0078,3.506098e-06
52,rho,505.5467,3.780488e-06
52,rho,536.6058,4.085366e-06
52,rho,569.1442,4.390244e-06
52,rho,600.1984,4.939024e-06
52,rho,636.1885,5.243902e-06
52,rho,667.2446,5.70122e-06
52,rho,699.7823,6.036585e-06
52,rho,733.3033,6.52439e-06
52,rho,771.2561,7.317073e-06
422,rho,294.4672,2.135231e-06
422,rho,319.0574,2.775801e-06
422,rho,344.877,3.309609e-06
422,rho,367.0082,3.41637e-06
422,rho,392.8279,3.843416e-06
422,rho,408.8115,3.843416e-06
422,rho,438.3197,4.483986e-06
422,rho,459.2213,4.697509e-06
422,rho,481.3525,4.697509e-06
422,rho,508.4016,5.338078e-06
422,rho,531.7623,5.978648e-06
422,rho,555.123,6.405694e-06
422,rho,577.2541,6.619217e-06
422,rho,599.3852,7.259786e-06
422,rho,607.9918,7.47331e-06
422,rho,621.5164,7.900356e-06
422,rho,631.3525,7.900356e-06
422,rho,644.877,8.540925e-06
422,rho,667.0082,8.967972e-06
422,rho,681.7623,9.608541e-06
422,rho,706.3525,1.024911e-05
422,rho,732.1721,1.131673e-05
422,rho,762.9098,1.238434e-05
422,rho,783.8115,1.302491e-05
422,rho,805.9426,1.430605e-05
422,rho,831.7623,1.537367e-05
422,rho,852.6639,1.644128e-05
422,rho,872.3361,1.729537e-05
53,rho,772.8529,9.133089e-06
53,rho,759.0326,8.864469e-06
53,rho,728.924,8.107448e-06
53,rho,687.463,7.326007e-06
53,rho,653.8993,6.691087e-06
53,rho,617.3741,6.031746e-06
53,rho,585.2912,5.543346e-06
53,rho,550.7404,5.054945e-06
53,rho,514.7088,4.590965e-06
53,rho,438.6969,3.736264e-06
53,rho,401.1846,3.418803e-06
53,rho,366.1402,3.101343e-06
53,rho,339.9803,2.905983e-06
53,rho,323.692,2.808303e-06
53,rho,292.5962,2.539683e-06
54,rho,79.92424,4.10203e-07
54,rho,100.3788,5.399531e-07
54,rho,120.4545,6.807274e-07
54,rho,140.1515,8.415328e-07
54,rho,160.2273,1.008192e-06
54,rho,179.9242,1.184395e-06
54,rho,200.0,1.385952e-06
54,rho,220.0758,1.609137e-06
54,rho,240.1515,1.868263e-06
54,rho,260.2273,2.126991e-06
54,rho,280.303,2.431066e-06
54,rho,300.3788,2.767734e-06
54,rho,320.0758,3.188307e-06
54,rho,340.1515,3.517711e-06
54,rho,360.2273,4.004865e-06
54,rho,379.9242,4.613427e-06
54,rho,400.0,5.419745e-06
54,rho,420.0758,6.026787e-06
326,rho,365.553,2.669049e-06
326,rho,380.8572,3.359572e-06
326,rho,391.6385,5.589015e-06
326,rho,403.0436,6.425357e-06
326,rho,413.8515,6.986095e-06
326,rho,425.2523,8.611474e-06
326,rho,435.7603,9.297938e-06
326,rho,445.9679,1.003912e-05
326,rho,456.4754,1.091523e-05
326,rho,466.9834,1.178534e-05
326,rho,477.1902,1.29035e-05
326,rho,486.7979,1.373916e-05
326,rho,497.3055,1.493817e-05
326,rho,506.9137,1.57951e-05
326,rho,517.4217,1.70542e-05
326,rho,527.3285,1.854251e-05
326,rho,536.9358,1.988152e-05
326,rho,547.4451,2.102202e-05
326,rho,558.2539,2.254008e-05
326,rho,567.8616,2.399984e-05
326,rho,577.7697,2.555414e-05
326,rho,587.3779,2.702004e-05
326,rho,597.2861,2.876994e-05
326,rho,607.7945,3.08475e-05
326,rho,618.0043,3.216537e-05
326,rho,627.3125,3.377422e-05
326,rho,637.2215,3.546353e-05
326,rho,646.8293,3.776025e-05
326,rho,657.0382,3.992636e-05
326,rho,666.9472,4.192339e-05
398,rho,330.8031,5.099602e-06
398,rho,339.9867,5.524568e-06
398,rho,351.7214,6.162019e-06
398,rho,364.4765,6.586985e-06
398,rho,379.7827,7.436919e-06
398,rho,395.599,8.074369e-06
398,rho,412.4357,8.924303e-06
398,rho,430.2929,9.98672e-06
398,rho,449.1704,1.126162e-05
398,rho,468.5582,1.253652e-05
398,rho,488.9663,1.423639e-05
398,rho,509.8847,1.572377e-05
398,rho,530.8031,1.742364e-05
398,rho,551.2112,1.933599e-05
398,rho,571.6194,2.103586e-05
398,rho,591.5173,2.337317e-05
398,rho,611.4153,2.528552e-05
398,rho,630.8031,2.698539e-05
398,rho,649.1704,2.932271e-05
398,rho,668.048,3.144754e-05
398,rho,685.3949,3.357238e-05
398,rho,703.7622,3.548473e-05
398,rho,718.048,3.739708e-05
55,rho,343.3858,5.654596e-06
55,rho,411.3122,7.214485e-06
55,rho,502.7547,1.013928e-05
55,rho,593.1537,1.345404e-05
55,rho,684.0926,2.144847e-05
55,rho,775.5787,3.607242e-05
56,rho,298.3642,7.019064e-06
56,rho,373.0643,8.843249e-06
56,rho,472.8462,1.325074e-05
56,rho,573.1734,1.969506e-05
56,rho,672.9553,2.873218e-05
56,rho,773.2824,4.165798e-05
57,rho,300.8408,5.30019e-06
57,rho,324.4206,5.447559e-06
57,rho,351.4904,6.168149e-06
57,rho,375.9391,7.031419e-06
57,rho,399.5136,8.037683e-06
57,rho,424.8331,9.330557e-06
57,rho,450.1525,1.062343e-05
57,rho,475.4702,1.22026e-05
57,rho,499.9136,1.392477e-05
57,rho,525.2313,1.550394e-05
57,rho,549.6729,1.75124e-05
57,rho,574.9892,1.93063e-05
57,rho,599.8684,2.117169e-05
57,rho,625.1829,2.325189e-05
57,rho,650.0612,2.526043e-05
57,rho,675.3753,2.74122e-05
57,rho,699.8169,2.942066e-05
57,rho,724.6926,3.185865e-05
57,rho,749.5668,3.451136e-05
58,rho,295.6522,1.849642e-06
58,rho,340.5797,2.118138e-06
58,rho,363.7681,2.297136e-06
58,rho,396.6184,2.505967e-06
58,rho,413.5266,2.625298e-06
58,rho,435.7488,2.834129e-06
58,rho,471.4976,3.162291e-06
58,rho,509.1787,3.550119e-06
58,rho,543.4783,3.937947e-06
58,rho,582.1256,4.415274e-06
58,rho,620.7729,4.922434e-06
58,rho,656.0386,5.429594e-06
58,rho,690.8213,6.085919e-06
58,rho,727.5362,6.801909e-06
58,rho,770.0483,7.696897e-06
59,rho,323.755,5.408451e-05
59,rho,370.8167,6.23662e-05
59,rho,419.2231,6.388732e-05
59,rho,467.1813,6.507042e-05
59,rho,515.1394,6.625352e-05
59,rho,564.4422,6.540845e-05
59,rho,612.4004,6.338028e-05
59,rho,660.3586,6.270423e-05
59,rho,709.2131,6.033803e-05
59,rho,759.4124,5.695775e-05
60,rho,297.0803,4.512338e-06
60,rho,333.5766,5.358402e-06
60,rho,380.7786,6.274971e-06
60,rho,406.5693,6.556992e-06
60,rho,443.5523,6.839013e-06
60,rho,486.8613,7.544066e-06
60,rho,523.8443,8.249119e-06
60,rho,558.8808,8.954172e-06
60,rho,596.3504,9.941246e-06
60,rho,630.4136,1.113984e-05
60,rho,666.91,1.254994e-05
60,rho,703.8929,1.403055e-05
60,rho,743.7956,1.558167e-05
60,rho,778.3455,1.692127e-05
60,rho,812.4088,1.826087e-05
60,rho,822.6277,1.86839e-05
61,rho,300.0057,1.172309e-06
61,rho,323.2097,1.287756e-06
61,rho,373.1459,1.597239e-06
61,rho,423.0821,1.891646e-06
61,rho,473.0183,2.238314e-06
61,rho,522.9545,2.766735e-06
61,rho,572.8907,3.512417e-06
61,rho,622.8269,4.405244e-06
61,rho,672.7631,5.729014e-06
61,rho,772.918,9.741858e-06
61,rho,822.5717,1.161248e-05
61,rho,872.5079,1.257097e-05
61,rho,723.5925,7.360947e-06
426,rho,692.2812,2.790698e-05
426,rho,682.1149,2.694938e-05
426,rho,672.4106,2.585499e-05
426,rho,662.2443,2.50342e-05
426,rho,652.54,2.393981e-05
426,rho,642.3737,2.298222e-05
426,rho,632.2073,2.202462e-05
426,rho,622.503,2.106703e-05
426,rho,610.9504,1.997264e-05
426,rho,601.2461,1.915185e-05
426,rho,591.0798,1.833105e-05
426,rho,581.3755,1.764706e-05
426,rho,571.2091,1.668947e-05
426,rho,562.4291,1.586867e-05
426,rho,552.7249,1.504788e-05
426,rho,540.7101,1.422709e-05
426,rho,531.0058,1.326949e-05
426,rho,520.8395,1.27223e-05
426,rho,510.6731,1.19015e-05
426,rho,500.5067,1.135431e-05
426,rho,490.8025,1.053352e-05
426,rho,480.6361,1.012312e-05
426,rho,470.9319,9.575923e-06
426,rho,460.7655,9.028728e-06
426,rho,450.5992,8.618331e-06
426,rho,440.8949,8.344733e-06
426,rho,431.1907,7.934337e-06
426,rho,420.5622,7.387141e-06
426,rho,317.9744,4.651163e-06
426,rho,344.7766,5.335157e-06
426,rho,409.9337,7.113543e-06
426,rho,399.3053,6.703146e-06
426,rho,389.601,6.429549e-06
426,rho,378.5104,6.019152e-06
406,rho,775.3208,8.620269e-06
406,rho,768.4107,8.498168e-06
406,rho,740.2764,7.765568e-06
406,rho,725.9625,7.521368e-06
406,rho,704.2448,7.081807e-06
406,rho,690.4245,6.837607e-06
406,rho,668.7068,6.471306e-06
406,rho,650.9378,6.202686e-06
406,rho,628.7266,5.787546e-06
406,rho,613.4255,5.592186e-06
406,rho,591.2142,5.201465e-06
406,rho,578.381,5.128205e-06
406,rho,554.689,4.713065e-06
406,rho,545.311,4.639805e-06
406,rho,520.6318,4.371184e-06
406,rho,504.8371,4.151404e-06
406,rho,484.6002,3.980464e-06
406,rho,468.8055,3.785104e-06
406,rho,446.5943,3.565324e-06
406,rho,435.7354,3.467643e-06
