sample_id,tepname,temperature,tepvalue
435,kappa,514.7975,2.035758
435,kappa,540.0157,1.913071
435,kappa,564.2163,1.811899
435,kappa,612.614,1.63614
435,kappa,636.2782,1.562434
435,kappa,660.9371,1.497038
435,kappa,685.7186,1.435428
435,kappa,711.2363,1.376299
435,kappa,734.6142,1.332199
435,kappa,759.3077,1.286269
435,kappa,782.9029,1.249951
435,kappa,805.1522,1.222926
435,kappa,830.4872,1.195856
435,kappa,853.2967,1.166762
435,kappa,878.8289,1.145508
84,kappa,293.3468,3.177769
84,kappa,316.9355,2.861027
84,kappa,348.9919,2.629905
84,kappa,389.5161,2.451438
84,kappa,445.1613,2.226651
84,kappa,509.879,2.080884
84,kappa,589.7177,1.875611
84,kappa,645.3629,1.762912
84,kappa,670.1613,1.716486
84,kappa,707.0565,1.702893
84,kappa,733.6694,1.709194
84,kappa,774.1935,1.74831
84,kappa,837.7016,1.971787
84,kappa,805.6452,1.807305
430,kappa,299.6158,0.8704871
430,kappa,373.0067,0.817765
430,kappa,472.5264,0.730659
430,kappa,573.1988,0.6618911
430,kappa,673.1028,0.7421203
223,kappa,304.4643,1.74134
223,kappa,322.3184,1.703054
223,kappa,347.2195,1.645651
223,kappa,373.0602,1.585517
223,kappa,398.9023,1.533535
223,kappa,425.214,1.47883
223,kappa,451.0572,1.432283
223,kappa,476.4309,1.38846
223,kappa,502.2756,1.350066
223,kappa,527.1807,1.314401
223,kappa,553.496,1.278717
223,kappa,579.3433,1.25391
223,kappa,605.1911,1.231819
223,kappa,630.0998,1.215177
223,kappa,656.4192,1.201232
223,kappa,681.3294,1.192741
223,kappa,707.1808,1.189673
223,kappa,731.6236,1.194775
224,kappa,302.8023,2.034457
224,kappa,323.3625,1.94272
224,kappa,373.7777,1.688703
224,kappa,423.5401,1.406487
224,kappa,473.2674,1.230029
224,kappa,522.9822,1.091174
224,kappa,573.378,0.8959118
224,kappa,623.0734,0.8158112
224,kappa,674.0738,0.7944598
224,kappa,723.7474,0.7801642
224,kappa,774.0763,0.7870176
224,kappa,823.7429,0.7938736
224,kappa,874.0663,0.8171782
224,kappa,923.7267,0.8428356
196,kappa,303.6101,2.469565
196,kappa,323.4657,2.46087
196,kappa,373.4055,2.408696
196,kappa,422.7437,2.313043
196,kappa,472.6835,2.217391
196,kappa,523.225,2.130435
196,kappa,573.1649,2.069565
196,kappa,623.1047,2.008696
196,kappa,673.0445,1.93913
196,kappa,722.9844,1.843478
196,kappa,772.9242,1.756522
196,kappa,822.864,1.66087
196,kappa,872.2022,1.626087
196,kappa,902.2864,1.669565
225,kappa,301.29,3.67233
225,kappa,318.5979,3.536408
225,kappa,369.9029,3.137136
225,kappa,421.1959,2.805825
225,kappa,470.013,2.512743
225,kappa,521.2948,2.245146
225,kappa,570.7172,2.020024
225,kappa,620.1336,1.828883
225,kappa,644.222,1.74818
225,kappa,669.5433,1.675971
225,kappa,694.2467,1.60801
225,kappa,718.9515,1.531553
225,kappa,751.6825,1.446602
225,kappa,785.0301,1.365898
225,kappa,819.6122,1.285194
225,kappa,852.341,1.212985
225,kappa,880.7458,1.157767
225,kappa,909.1514,1.098301
226,kappa,304.4171,2.436183
226,kappa,321.6162,2.35254
226,kappa,345.8032,2.231722
226,kappa,372.6742,2.114002
226,kappa,398.4686,2.008674
226,kappa,424.7999,1.903346
226,kappa,450.0548,1.810409
226,kappa,475.8452,1.723668
226,kappa,501.6324,1.652416
226,kappa,527.4195,1.581165
226,kappa,553.7415,1.519207
226,kappa,578.9877,1.466543
226,kappa,604.7695,1.420074
226,kappa,630.5493,1.3829
226,kappa,656.864,1.355019
226,kappa,681.0297,1.333333
226,kappa,706.8042,1.320942
226,kappa,732.0411,1.311648
227,kappa,304.0876,1.530675
227,kappa,318.1022,1.481595
227,kappa,365.9854,1.358896
227,kappa,415.0365,1.236196
227,kappa,461.7518,1.101227
227,kappa,507.2993,1.015337
227,kappa,559.854,0.9539877
227,kappa,606.5693,0.9907975
227,kappa,655.6204,1.039877
227,kappa,704.6715,1.174847
228,kappa,296.9954,3.20303
228,kappa,318.9989,3.024848
228,kappa,344.9941,2.876364
228,kappa,395.4915,2.541212
228,kappa,422.4875,2.38
228,kappa,445.4797,2.273939
228,kappa,472.4697,2.155152
228,kappa,496.9591,2.057576
228,kappa,521.9487,1.955758
228,kappa,547.4341,1.879394
228,kappa,572.42,1.80303
228,kappa,597.4053,1.730909
228,kappa,622.3894,1.667273
228,kappa,646.8728,1.612121
228,kappa,672.8565,1.544242
228,kappa,696.8404,1.489091
228,kappa,722.8205,1.446667
71,kappa,298.5119,1.431395
71,kappa,373.4127,1.152326
71,kappa,473.6111,0.9391473
71,kappa,573.3135,0.8112403
71,kappa,673.0159,0.725969
71,kappa,773.2143,0.6639535
189,kappa,300.0,4.433428
189,kappa,374.8479,4.220963
189,kappa,474.0365,3.753541
189,kappa,575.6592,3.286119
189,kappa,674.8479,2.804533
189,kappa,776.4706,2.181303
189,kappa,879.3103,1.770538
229,kappa,300.2144,2.234156
229,kappa,314.2315,2.152615
229,kappa,323.3015,2.119223
229,kappa,343.9149,2.037614
229,kappa,373.186,1.918918
229,kappa,394.624,1.841
229,kappa,422.6583,1.751915
229,kappa,446.9822,1.681367
229,kappa,472.9551,1.610802
229,kappa,496.8668,1.551357
229,kappa,522.8397,1.495591
229,kappa,547.1636,1.436143
229,kappa,572.7243,1.387781
229,kappa,597.4604,1.346827
229,kappa,623.0211,1.302165
229,kappa,647.345,1.268614
229,kappa,672.9057,1.216553
229,kappa,697.2296,1.183003
229,kappa,722.7902,1.14574
230,kappa,302.7704,2.130814
230,kappa,322.6621,2.057881
230,kappa,373.0976,1.74276
230,kappa,423.5136,1.486393
230,kappa,473.2541,1.269982
230,kappa,523.6491,1.07707
230,kappa,574.0294,0.9288117
230,kappa,623.7286,0.8369602
230,kappa,674.0731,0.79681
230,kappa,723.0852,0.7801668
230,kappa,773.4148,0.78467
