sample_id,tepname,temp,tepvalue
6543,Z,"[297.9167, 318.2292, 338.0208, 358.3333, 378.6458, 398.9583, 418.75, 439.0625, 458.8542, 479.6875, 500.5208, 520.3125, 540.1042, 550.5208]","[0.001994784, 0.002085258, 0.002117602, 0.00215357, 0.002004219, 0.001800361, 0.001611048, 0.001418092, 0.001225145, 0.001046714, 0.0008828182, 0.0007225749, 0.0005877676, 0.0005294388]"
6544,Z,"[297.9167, 318.2292, 338.0208, 358.3333, 378.125, 398.4375, 418.75, 438.5417, 458.8542, 479.1667, 500, 519.2708, 540.1042, 550.5208]","[0.002343621, 0.002383223, 0.002371962, 0.00230982, 0.002251321, 0.002105603, 0.001927182, 0.001705165, 0.001501308, 0.001268381, 0.001049979, 0.0008606752, 0.0006895118, 0.0005948458]"
6545,Z,"[297.9167, 318.2292, 337.5, 357.8125, 378.125, 398.4375, 418.75, 439.0625, 459.375, 479.1667, 500, 520.3125, 540.625, 551.0417]","[0.002394493, 0.002608514, 0.002699007, 0.002673202, 0.002502048, 0.002294557, 0.002079798, 0.001810534, 0.001468595, 0.001239311, 0.001039078, 0.0008315865, 0.0006749674, 0.000573034]"
6546,Z,"[297.3958, 317.7083, 337.5, 357.8125, 378.125, 398.4375, 418.75, 438.5417]","[0.00305584, 0.002957361, 0.002804385, 0.002509684, 0.002076902, 0.001647754, 0.00122224, 0.0008912117]"
6901,Z,,[]
6902,Z,,[]
7156,Z,"[221.5876, 228.9029, 236.3555, 244.7949, 253.6548, 261.2475, 271.0881, 279.242, 288.6593, 296.9538, 300.4637, 303.9775, 311.0026, 320.5565, 327.3003, 335.727, 343.1696]","[0.002559585, 0.002595855, 0.002608808, 0.002641192, 0.002664508, 0.002673575, 0.002673575, 0.00267487, 0.002663212, 0.002664508, 0.002632124, 0.002626943, 0.002598446, 0.00255829, 0.002529793, 0.002471503, 0.002413212]"
7157,Z,"[223.0103, 230.8869, 238.4802, 246.9155, 255.6313, 262.9408, 272.5003, 281.0747, 290.4889, 297.6547, 300.8797, 305.0987, 311.8404, 321.1097, 327.1474, 332.0612]","[0.002680052, 0.002708549, 0.002722798, 0.002725389, 0.002724093, 0.002718912, 0.002718912, 0.00271114, 0.002677461, 0.002650259, 0.002590674, 0.002602332, 0.00255829, 0.002493523, 0.00244171, 0.002395078]"
7158,Z,"[222.0179, 227.5045, 234.2546, 250.1461, 257.5985, 267.7222, 276.0172, 285.8557, 293.8675, 297.3792, 301.1741, 308.4809, 317.6125, 324.4966, 333.0645, 341.77]","[0.002620466, 0.002648964, 0.002664508, 0.002705959, 0.002717617, 0.00273057, 0.002735751, 0.002720207, 0.00271114, 0.002690415, 0.002685233, 0.002660622, 0.00261658, 0.002585492, 0.002532383, 0.002457254]"
7159,Z,"[221.8937, 228.5034, 235.8163, 243.9722, 252.6895, 260.2801, 269.8393, 278.4126, 287.9721, 295.8411, 299.6305, 302.8624, 310.587, 319.8585, 326.3183, 335.0245, 343.3066]","[0.002737047, 0.002753886, 0.002773316, 0.00278886, 0.002797927, 0.002792746, 0.002790155, 0.002774611, 0.002774611, 0.00275, 0.002704663, 0.002694301, 0.002642487, 0.002593264, 0.002544041, 0.002474093, 0.002387306]"
7593,Z,"[573.15, 613.2006, 653.2511, 692.9983]","[0.001361442, 0.001934195, 0.002264885, 0.00224239]"
7595,Z,"[79.89162, 99.39111, 120.1277, 149.703, 179.3765, 212.2344, 242.1581, 281.9252, 302.3537]","[0.9794108, 1.233965, 1.562083, 1.893506, 2.310193, 2.490241, 2.790634, 2.966359, 3.027055]"
7598,Z,"[99.01594, 107.6045, 140.909, 170.6227, 201.5289, 232.2297, 282.1619, 293.9572]","[0.9084079, 1.028008, 1.595624, 2.047193, 2.533569, 2.841663, 3.171771, 3.074109]"
7687,Z,"[300, 339.8245, 379.9284, 420.291, 439.9549]","[0.00216129, 0.002308692, 0.002159349, 0.00165905, 0.001420102]"
7686,Z,"[299.7206, 319.9019, 339.8245, 360.0058, 379.6696, 399.851, 419.7736, 439.6961, 460.1362, 479.8, 499.9814, 519.904, 539.8265, 550.1759]","[0.00258871, 0.002614845, 0.002607378, 0.002510305, 0.002349761, 0.002140681, 0.001875597, 0.001640382, 0.001390233, 0.001151284, 0.0009347372, 0.0007293907, 0.0005651135, 0.0004717742]"
7688,Z,"[299.7206, 319.9019, 339.8245, 359.7471, 380.1871, 400.1097, 419.7736, 439.4374, 459.8775, 479.8, 499.9814, 519.904, 539.8265, 550.1759]","[0.001998805, 0.002092145, 0.002122013, 0.002159349, 0.002006272, 0.001808393, 0.001621714, 0.001416368, 0.001229689, 0.001054211, 0.0008824671, 0.0007256571, 0.0005875149, 0.0005053763]"
7689,Z,"[299.7206, 319.6432, 339.8245, 359.7471, 379.1522, 399.5922, 420.0323, 439.9549, 459.8775, 479.8, 500.2401, 519.904, 540.344, 549.9172]","[0.002357228, 0.002383363, 0.00237963, 0.002319892, 0.002256422, 0.002103345, 0.0019204, 0.001744922, 0.00150224, 0.001274492, 0.001061679, 0.0008637993, 0.0006957885, 0.0006099164]"
7690,Z,"[299.7206, 319.6432, 339.8245, 359.4883, 379.6696, 399.5922, 419.7736, 439.6961, 459.8775, 479.8, 499.7226, 519.6452, 540.0853, 550.4347]","[0.002398297, 0.002611111, 0.002696983, 0.002674582, 0.002510305, 0.002301225, 0.00207721, 0.001819594, 0.001472372, 0.001244624, 0.001039277, 0.0008339307, 0.0006808542, 0.0005763142]"
7691,Z,"[299.7206, 319.1257, 339.8245, 358.4534, 379.9284, 399.5922, 419.7736, 439.1787]","[0.003055406, 0.0029546, 0.002820191, 0.002525239, 0.002080944, 0.001651583, 0.001225956, 0.000901135]"
7997,Z,"[213.0542, 214.2857, 216.2562, 217.734, 219.9507, 222.4138, 225.3695, 228.5714, 233.2512, 236.2069, 240.6404, 245.8128, 251.4778, 257.8818, 265.5172, 274.1379, 284.2365, 295.8128, 304.6798, 314.7783, 331.2808, 350.7389, 372.6601, 396.0591, 420.4433, 425.8621]","[0.002465205, 0.00242411, 0.002429041, 0.002442192, 0.002456986, 0.002463562, 0.002491507, 0.002527671, 0.002572055, 0.002567123, 0.002598356, 0.002631233, 0.002687123, 0.002701918, 0.002754521, 0.002785753, 0.002831781, 0.002849863, 0.002859726, 0.00286137, 0.002844932, 0.00276274, 0.002632877, 0.00240274, 0.002124932, 0.002059178]"
7998,Z,"[213.0542, 214.7783, 215.7635, 217.734, 219.9507, 222.1675, 224.8768, 228.0788, 233.0049, 236.4532, 240.1478, 245.3202, 250.7389, 257.3892, 264.7783, 273.1527, 283.0049, 294.5813, 302.9557, 312.8079, 326.8473, 343.8424, 363.0542, 383.2512, 403.9409, 408.1281]","[0.002593425, 0.002580274, 0.002598356, 0.002613151, 0.002627945, 0.002644384, 0.002662466, 0.002688767, 0.002721644, 0.00274137, 0.002770959, 0.002793973, 0.002830137, 0.002854795, 0.002874521, 0.00291726, 0.002941918, 0.002948493, 0.002971507, 0.002950137, 0.002928767, 0.00284, 0.002673973, 0.002460274, 0.002207123, 0.002139726]"
8184,Z,"[297.5669, 324.0278, 348.4548, 372.8818, 399.3529, 423.7799, 448.2272, 472.6845, 499.1758, 521.6094, 546.0769, 572.5682, 597.0357, 623.5573, 650.0384, 674.5161, 698.9734, 723.4409, 747.9489, 774.4908, 798.9481, 823.4865, 848.0147, 874.6071]","[9.950249e-07, 2.985075e-06, 4.975124e-06, 6.965174e-06, 9.950249e-06, 1.19403e-05, 1.59204e-05, 2.089552e-05, 2.587065e-05, 3.18408e-05, 3.781095e-05, 4.278607e-05, 4.875622e-05, 5.671642e-05, 6.069652e-05, 6.766169e-05, 7.263682e-05, 7.860697e-05, 8.855721e-05, 9.850746e-05, 0.0001034826, 0.0001164179, 0.0001283582, 0.0001432836]"
8185,Z,"[297.577, 324.0379, 348.4852, 372.9324, 397.3797, 421.8472, 448.3587, 472.8363, 497.324, 523.8356, 546.3096, 574.8652, 597.3595, 623.9114, 648.4194, 674.9714, 699.4794, 726.0516, 750.5494, 775.108, 799.5856, 826.1477, 848.5914, 875.1738]","[1.99005e-06, 3.9801e-06, 7.960199e-06, 1.19403e-05, 1.59204e-05, 2.189055e-05, 2.885572e-05, 3.58209e-05, 4.378109e-05, 5.074627e-05, 6.069652e-05, 6.865672e-05, 8.059701e-05, 9.154229e-05, 0.0001014925, 0.0001124378, 0.0001223881, 0.0001353234, 0.0001442786, 0.000159204, 0.0001661692, 0.0001781095, 0.0001850746, 0.000199005]"
8186,Z,"[297.5568, 321.9838, 348.4548, 372.892, 397.319, 421.746, 448.2272, 472.6643, 497.1217, 523.6231, 548.0703, 572.5176, 599.0088, 623.4662, 649.9575, 674.4149, 698.852, 723.2891, 749.7399, 774.1973, 796.6005, 823.1121, 847.5694, 872.0066]","[0, 1.99005e-06, 4.975124e-06, 7.960199e-06, 9.950249e-06, 1.19403e-05, 1.59204e-05, 1.890547e-05, 2.38806e-05, 2.985075e-05, 3.383085e-05, 3.781095e-05, 4.278607e-05, 4.776119e-05, 5.273632e-05, 5.771144e-05, 6.069652e-05, 6.368159e-05, 6.467662e-05, 6.965174e-05, 7.263682e-05, 7.960199e-05, 8.457711e-05, 8.756219e-05]"
8187,Z,"[297.5669, 321.9838, 348.4346, 372.8717, 399.3225, 423.7597, 448.1968, 472.6339, 497.0711, 523.5522, 547.9995, 574.4705, 596.894, 623.3954, 649.8765, 672.2899, 698.7609, 723.2284, 747.6656, 772.1331, 798.5838, 825.065, 847.4581, 871.8548]","[9.950249e-07, 1.99005e-06, 2.985075e-06, 5.970149e-06, 6.965174e-06, 9.950249e-06, 1.293532e-05, 1.59204e-05, 1.890547e-05, 2.288557e-05, 2.686567e-05, 2.985075e-05, 3.482587e-05, 4.079602e-05, 4.477612e-05, 4.875622e-05, 5.174129e-05, 5.771144e-05, 6.069652e-05, 6.666667e-05, 6.766169e-05, 7.164179e-05, 7.363184e-05, 7.263682e-05]"
