sample_id,tepname,temp,tepvalue
625,zT,,[]
619,zT,"[300.685, 320.548, 339.726, 358.219, 380.137, 402.055, 418.493, 439.726, 460.274, 480.137, 497.945, 518.493, 539.041, 560.274, 580.822, 597.945]","[0.494118, 0.552941, 0.628922, 0.7, 0.74902, 0.795588, 0.837255, 0.871569, 0.920588, 0.967157, 0.964706, 0.972059, 0.945098, 0.896078, 0.822549, 0.763725]"
621,zT,"[298.7889, 320.1311, 342.1767, 362.1324, 381.4252, 400.7045, 422.0231, 441.3091, 461.2648, 480.507, 501.1459, 521.7374, 540.9459, 559.451, 580.0055, 603.2992]","[0.3203931, 0.3646192, 0.4211302, 0.4555283, 0.5071253, 0.5488943, 0.5759214, 0.6226044, 0.6570025, 0.6717445, 0.7036855, 0.7012285, 0.6914005, 0.6692875, 0.6398034, 0.6054054]"
648,zT,"[296.1977, 323.7643, 376.9962, 433.0798, 483.4601, 537.6426, 589.924, 642.2053, 693.5361, 743.9163, 799.0494]","[0.05733558, 0.07787143, 0.1263664, 0.1674416, 0.2196412, 0.2867156, 0.3426373, 0.3781257, 0.4321864, 0.5048194, 0.5477486]"
649,zT,"[297.1483, 323.7643, 376.9962, 429.2776, 481.5589, 532.8897, 586.1217, 637.4525, 688.7833, 738.2129, 788.5932, 840.8745]","[0.04433601, 0.05558041, 0.08549954, 0.1172727, 0.1601914, 0.1975338, 0.2571743, 0.2945167, 0.3913018, 0.4379251, 0.4901247, 0.5349009]"
650,zT,"[296.1977, 324.7148, 376.9962, 428.327, 479.6578, 532.8897, 587.0722, 638.403, 688.7833, 739.1635, 789.5437, 840.8745]","[0.06105075, 0.07787496, 0.128224, 0.1581361, 0.2251998, 0.268122, 0.3481995, 0.4096905, 0.4451718, 0.5085169, 0.5700044, 0.6259226]"
651,zT,"[295.2471, 325.6654, 376.9962, 430.2281, 486.3118, 538.5932, 589.924, 645.057, 697.3384, 747.7186, 799.0494, 849.4297]","[0.08519582, 0.1001695, 0.1579454, 0.2045827, 0.2660914, 0.3052949, 0.3909346, 0.4710156, 0.5325101, 0.569849, 0.6183369, 0.7058306]"
652,zT,"[295.2471, 321.8631, 373.1939, 425.4753, 479.6578, 529.0875, 584.2205, 635.5513, 687.8327, 738.2129, 791.4449, 841.8251]","[0.1000565, 0.1224464, 0.163504, 0.2417168, 0.2902153, 0.3386962, 0.4317802, 0.4876985, 0.5844872, 0.6069654, 0.6443148, 0.7466692]"
653,zT,"[294.3771, 321.9097, 377.0281, 427.7046, 480.1105, 534.3038, 587.6203, 640.0456, 688.8816, 740.4398, 793.9302, 847.1984]","[0.1235772, 0.1669377, 0.2298103, 0.2861789, 0.3663957, 0.4444444, 0.5159892, 0.5875339, 0.6699187, 0.7306233, 0.7241192, 0.8173442]"
654,zT,"[296.2369, 324.6994, 372.7408, 427.8833, 481.2095, 534.5164, 586.089, 637.623, 690.9975, 744.2754]","[0.08888889, 0.1149051, 0.1539295, 0.2059621, 0.2731707, 0.3490515, 0.403252, 0.4747967, 0.5203252, 0.6092141]"
655,zT,"[292.5559, 319.1972, 373.4147, 424.0767, 477.3981, 528.9224, 581.3477, 633.8309, 681.824, 732.5102, 783.1143, 831.3102]","[0.1409214, 0.1842818, 0.2514905, 0.3143631, 0.3837398, 0.4596206, 0.5311653, 0.5766938, 0.6373984, 0.6894309, 0.7783198, 0.7479675]"
656,zT,"[296.2031, 324.6414, 377.9918, 432.2189, 485.5547, 539.8205, 591.3255, 644.7628, 694.5191, 746.1738, 795.0678, 845.9956]","[0.104065, 0.1409214, 0.19729, 0.2601626, 0.3230352, 0.3685637, 0.4531165, 0.4704607, 0.5398374, 0.5571816, 0.6135501, 0.5571816]"
657,zT,"[296.0968, 324.5014, 376.8783, 431.1489, 486.2624, 537.8496, 591.1226, 644.5502, 695.2703, 746.7946, 795.9688, 850.2394]","[0.1517615, 0.203794, 0.297019, 0.3403794, 0.4054201, 0.4531165, 0.5441734, 0.5658537, 0.60271, 0.6785908, 0.6092141, 0.6525745]"
665,zT,"[422.8198, 449.2052, 468.2542, 496.055, 518.0537, 548.7718, 572.24, 597.1559, 619.133, 644.0705, 669.0081, 689.5589, 718.8725, 742.3946, 765.9167, 792.3346, 818.774, 842.3502, 861.5072, 887.9574, 913.003]","[0.03421309, 0.03894225, 0.04209438, 0.04524267, 0.04957869, 0.0527257, 0.05745614, 0.06179088, 0.06533679, 0.07046165, 0.0755865, 0.08031822, 0.08544116, 0.09214688, 0.09885261, 0.1047669, 0.1114714, 0.1201524, 0.1272551, 0.1343546, 0.14343]"
666,zT,"[419.6216, 445.9746, 469.3779, 495.7309, 517.6971, 547.0539, 569.0525, 593.9469, 618.9277, 636.5828, 668.8568, 689.4617, 717.3598, 742.4486, 763.1075, 792.5182, 813.1771, 839.7138, 864.7702, 889.8266, 916.3849]","[0.02394289, 0.02748687, 0.02984697, 0.03339096, 0.03654181, 0.04324497, 0.047581, 0.05112562, 0.05783071, 0.06335382, 0.0700557, 0.07676271, 0.08346651, 0.09412217, 0.1028045, 0.1114829, 0.1201652, 0.1304252, 0.1398956, 0.1493661, 0.1604162]"
667,zT,"[423.8139, 447.2172, 469.151, 495.4932, 518.8965, 545.2171, 568.6528, 593.5579, 618.4523, 641.9204, 665.3669, 693.2218, 718.1485, 743.0969, 766.5974, 791.5674, 816.5374, 841.529, 865.0728, 887.1795, 913.6729]","[0.017225, 0.01958509, 0.02155077, 0.02469971, 0.0270598, 0.02941862, 0.03296389, 0.03690357, 0.0404482, 0.04517864, 0.04911897, 0.05424254, 0.05897234, 0.06449225, 0.07040786, 0.07671789, 0.08302792, 0.09012806, 0.0976239, 0.1059105, 0.1145902]"
668,zT,"[424.1056, 441.6851, 472.3708, 494.3587, 520.7441, 544.1474, 570.5652, 592.5639, 620.4187, 642.439, 668.8893, 686.512, 717.3598, 739.4233, 760.0713, 792.3346, 817.3694, 842.3934, 863.0522, 888.1087, 913.1651]","[0.02789154, 0.03064925, 0.03261109, 0.03655206, 0.04128121, 0.04364131, 0.04955564, 0.05389166, 0.05901524, 0.06414138, 0.07124088, 0.07557882, 0.08346651, 0.09017288, 0.09846011, 0.1047669, 0.1134473, 0.1217326, 0.1304149, 0.1398854, 0.1493559]"
683,zT,"[304.6889, 393.9563, 484.7393, 598.9665, 700.6098, 792.8243, 900.7011]","[-0.002419905, 0.01166618, 0.05184536, 0.119778, 0.2139351, 0.3230986, 0.4339809]"
685,zT,"[303.1296, 393.9928, 500.5112, 586.6747, 685.3564, 788.7197, 890.4981]","[-0.006134969, -0.006982179, -0.002380952, -0.003184341, 0.003354757, 0.01917421, 0.04433246]"
686,zT,"[322.5687, 371.0128, 420.1706, 469.3181, 561.4664, 662.269]","[0.01, 0.02005988, 0.03347305, 0.04583832, 0.06868263, 0.0711976]"
687,zT,"[301.3256, 349.4823, 400.2535, 448.4225, 500.5101, 549.9985, 600.7849, 651.5959, 703.7171, 750.6338, 802.7733, 851.0217]","[0.03309612, 0.04975413, 0.07956996, 0.1093736, 0.1556275, 0.2051556, 0.2514034, 0.3239425, 0.4063468, 0.4887267, 0.5908494, 0.7060994]"
688,zT,"[298.7355, 350.7987, 398.9738, 451.0583, 499.2456, 551.3515, 600.8583, 655.5939, 699.9236, 752.0815, 802.9688, 852.5457]","[0.0462295, 0.06619224, 0.1025686, 0.1455362, 0.1950582, 0.2610305, 0.330277, 0.4258392, 0.5246388, 0.6464799, 0.8011789, 0.9460126]"
692,zT,"[300, 319.2243, 339.4604, 360.2024, 379.9325, 399.6627, 420.4047, 439.1231, 459.8651, 479.5953, 500.8432, 519.5616, 540.3035, 560.0337, 579.7639, 598.9882]","[0.3334638, 0.3848262, 0.4408695, 0.5016015, 0.5740911, 0.6465806, 0.7120093, 0.758683, 0.7959317, 0.7979711, 0.7882451, 0.7480303, 0.7030872, 0.6511149, 0.5733109, 0.4790765]"
691,zT,"[300.5059, 320.742, 340.4722, 358.6847, 378.4148, 400.6745, 418.3811, 439.1231, 459.8651, 479.5953, 499.3255, 519.0556, 540.8094, 559.5278, 579.7639, 598.9882]","[0.6035146, 0.6572095, 0.7038674, 0.750549, 0.7925101, 0.8344317, 0.8576379, 0.8807965, 0.8875168, 0.8801629, 0.851674, 0.8114434, 0.757091, 0.6933929, 0.622626, 0.5495266]"
693,zT,"[299.4941, 320.2361, 338.9545, 359.1906, 379.9325, 399.6627, 420.9106, 441.6526, 459.3592, 480.6071, 499.3255, 519.0556, 540.8094, 559.0219, 579.7639, 599.4941]","[0.523687, 0.6008574, 0.6663177, 0.722361, 0.7783964, 0.8180092, 0.8435082, 0.8713636, 0.8734347, 0.8613604, 0.8234939, 0.7856117, 0.714821, 0.6370408, 0.5615693, 0.4978553]"
694,zT,"[300, 319.7302, 339.9663, 359.6965, 379.9325, 399.6627, 419.8988, 439.629, 459.8651, 480.1012, 500.3373, 520.5734, 540.3035, 559.5278, 579.7639, 599.4941]","[0.6857143, 0.7675972, 0.8377305, 0.8867367, 0.9380832, 0.9753477, 0.9985143, 1.012295, 1.00963, 0.9881785, 0.9502883, 0.898308, 0.8228524, 0.7450563, 0.6601994, 0.5776987]"
695,zT,"[300, 319.7302, 338.4486, 360.7083, 380.4384, 399.1568, 420.4047, 439.1231, 459.3592, 479.0894, 500.3373, 521.5852, 539.2917, 561.0455, 579.258, 599.4941]","[0.6410959, 0.6947987, 0.7438208, 0.7786973, 0.8277035, 0.8555905, 0.8810896, 0.9066282, 0.9133564, 0.9083509, 0.8892315, 0.8489771, 0.7993849, 0.7285942, 0.6461173, 0.5612604]"
696,zT,"[299.6828, 319.8999, 340.1194, 360.8936, 379.9831, 401.3169, 422.0802, 440.5981, 460.2315, 480.4136, 500.5897, 521.3193, 542.6048, 563.3271, 581.2397, 601.962]","[0.523871, 0.5883871, 0.6580645, 0.7148387, 0.7664516, 0.8206452, 0.8541935, 0.8825806, 0.8980645, 0.8877419, 0.8645161, 0.8258065, 0.7767742, 0.7225806, 0.6554839, 0.6012903]"
697,zT,"[298.53, 318.7362, 340.0675, 359.7226, 379.3717, 399.584, 419.7914, 439.438, 460.1954, 480.9539, 501.1384, 520.7513, 542.044, 561.0829, 581.2433, 601.9608]","[0.4567742, 0.4980645, 0.5470968, 0.6090323, 0.6580645, 0.7122581, 0.756129, 0.8, 0.8206452, 0.843871, 0.8387097, 0.8103226, 0.7767742, 0.72, 0.6632258, 0.5987097]"
698,zT,"[299.6708, 319.8818, 339.5297, 359.7371, 381.066, 400.1495, 420.3485, 440.5511, 460.1893, 480.3774, 500.562, 521.3024, 540.9129, 561.0781, 580.6765, 602.5119]","[0.4980645, 0.5496774, 0.596129, 0.64, 0.683871, 0.7225806, 0.7483871, 0.7819355, 0.8077419, 0.8103226, 0.8051613, 0.7896774, 0.756129, 0.7096774, 0.6503226, 0.5780645]"
693,zT,"[300.3207, 318.9713, 340.3894, 357.9686, 379.965, 399.7643, 417.9474, 437.7957, 458.7825, 479.2528, 499.754, 519.1838, 538.0868, 558.6601, 579.2386, 599.8146]","[0.5272727, 0.6, 0.6699301, 0.7244755, 0.7804196, 0.8293706, 0.8559441, 0.8783217, 0.8825175, 0.8671329, 0.834965, 0.7846154, 0.7202797, 0.648951, 0.5748252, 0.5020979]"
702,zT,"[300.4649, 320.8296, 340.665, 360.5082, 379.7885, 400.7366, 419.4928, 439.9065, 459.796, 480.8162, 501.2943, 520.6777, 540.061, 558.3369, 578.8046, 601.4514]","[0.448951, 0.4909091, 0.5202797, 0.5454545, 0.5762238, 0.6013986, 0.6167832, 0.6321678, 0.6321678, 0.6181818, 0.5986014, 0.5734266, 0.5482517, 0.5244755, 0.5104895, 0.5132867]"
704,zT,"[299.7064, 318.9017, 339.77, 360.1064, 379.8954, 399.7077, 418.9854, 438.2709, 459.7973, 479.1369, 498.5022, 519.0009, 539.5253, 558.9705, 579.5284, 600.1017]","[0.5608392, 0.6377622, 0.7062937, 0.7636364, 0.8181818, 0.8601399, 0.8923077, 0.9202797, 0.9314685, 0.9300699, 0.9146853, 0.8839161, 0.8391608, 0.7804196, 0.7174825, 0.6461538]"
703,zT,"[298.5705, 318.3467, 340.3328, 359.5745, 379.8954, 398.0219, 419.4864, 439.3064, 459.1547, 479.0519, 498.9852, 518.9545, 538.9599, 558.9782, 580.6591, 598.4675]","[0.5776224, 0.6391608, 0.7006993, 0.7524476, 0.8181818, 0.8755245, 0.9202797, 0.958042, 0.9804196, 0.9762238, 0.9524476, 0.9090909, 0.8461538, 0.7762238, 0.7034965, 0.6335664]"
705,zT,"[299.0129, 319.4699, 339.3543, 358.6794, 378.5687, 398.4664, 418.9417, 439.422, 458.2061, 478.1354, 498.6456, 520.3011, 539.1168, 557.9392, 578.4711, 600.7157]","[0.4795375, 0.5434662, 0.613254, 0.6655089, 0.7265247, 0.7729205, 0.8046851, 0.8276777, 0.8302355, 0.8210751, 0.7914355, 0.7500777, 0.6970793, 0.6323849, 0.5647332, 0.4882762]"
706,zT,"[299.1295, 319.0355, 337.7846, 357.6673, 379.8371, 400.2957, 419.0499, 438.9526, 458.301, 479.3588, 498.7205, 519.7984, 538.6108, 559.126, 577.9368, 599.0229]","[0.2748569, 0.3066326, 0.3705946, 0.4433064, 0.4984298, 0.5594345, 0.6146245, 0.6522482, 0.663567, 0.6719284, 0.6598551, 0.6331284, 0.5859781, 0.5475665, 0.5033401, 0.4619934]"
432,zT,"[299.6871, 319.0105, 339.4675, 359.3418, 379.2262, 400.2391, 418.9733, 437.7258, 458.1994, 478.6814, 498.0431, 518.0007, 539.6661, 557.9276, 579.598, 598.9996]","[0.2953138, 0.3504927, 0.4144214, 0.5017533, 0.5715411, 0.6588508, 0.7491289, 0.8072429, 0.8419315, 0.8620001, 0.8499268, 0.7910582, 0.7321563, 0.652853, 0.5851791, 0.5029296]"
433,zT,"[298.5852, 338.3639, 359.9511, 379.2762, 399.1572, 420.2101, 437.834, 457.1758, 478.8029, 498.7372, 517.5529, 539.1984, 560.2729, 580.8097, 597.921]","[0.2310078, 0.3530394, 0.431566, 0.4838209, 0.5594567, 0.5765902, 0.6171823, 0.6401971, 0.6485474, 0.630615, 0.5776166, 0.5538029, 0.5329242, 0.4565005, 0.3976874]"
